kr,zeta_r,dr,A,f0,f1,offset,ymax,t_ymax,xb_max,xb_min,xrd_max,xref_max
1957.494516534312,0.5949905957768471,166.49085140247524,0.07010185439379678,0.7276312261534275,2.565064087325897,0.6951244703273511,0.8070396474686296,3.684561520506836,0.07372323054354367,-0.07365739184021765,0.7686891722566179,0.7832658191438792
1926.735284776847,0.9074578747492585,251.92281169095344,0.018967954287288213,0.5053473441060105,4.224788145395488,0.6853529977697204,0.7094156462475518,2.9926642214071357,0.016168224076340703,-0.016070391938346553,0.7043209520570086,0.7069047335550774
1645.2762881935948,0.9404854519437471,241.26898489570792,0.04103899391791318,0.3045148496062992,5.327508722095009,0.5127634512208351,0.5618688915465971,3.401133711237079,0.03163063019591996,-0.03223995148564173,0.5538024451387483,0.5576826800179499
2086.314812782197,0.7684979592098584,222.00493826633374,0.06306614180597617,0.4190733713168815,7.824188146369419,0.6786242242644395,0.7590254016487125,2.7342447482494165,0.057800047055275645,-0.059593145851527425,0.7416903660704156,0.7493744766125442
1968.1203929770286,0.37517483706677085,105.26634138627954,0.0426704702608924,0.13942338920850592,2.9257369524052868,0.6366097906484909,0.7122607707698615,8.47782594198066,0.052021397416721876,-0.052867011646868904,0.6855969550662229,0.693335609244431
1887.429174178761,1.0707587591907892,294.20968381056787,0.03280777506967064,0.43341373543138206,4.817334867654847,0.5378942718168571,0.5758480413787755,3.1177059019673226,0.025054878807572536,-0.02474266554041706,0.5707020468865278,0.5740127698227744
411.811612805132,0.6281344336033404,80.61797624937837,0.025883654433561887,0.7028325952142593,4.622911513233984,0.6665356392115674,0.6944927752774824,1.567189063021007,0.012421625809815984,-0.012096414531984009,0.6924192936451293,0.693575246938269
1780.6362448053978,0.481129977243837,128.40443289929576,0.06825818609766408,0.8242879217471216,4.3248702741810465,0.5576656207860489,0.6662325937117215,2.2757585861953986,0.07697361046370461,-0.07510197824013978,0.6300617868267901,0.634483340727248
1737.9892095399412,0.32577723524837887,85.89626240444431,0.023993574173257586,0.10662604277590497,6.72154626501283,0.6329701713184064,0.6728590497144259,3.6595531843947984,0.029747611028749996,-0.029937973102961375,0.6608430853921716,0.6622149708261812
1792.3969087032042,0.9026561279197711,241.69597806237056,0.0421241042876838,0.6118670763576044,2.8387819887659447,0.5229060147071947,0.5779566710459039,4.043014338112704,0.03494936526954274,-0.03507258541082098,0.5650301189948784,0.5714491340136991
1704.167108297132,0.6239865855288194,162.91509965159952,0.04956652745368322,0.7884989716744231,5.808309920003545,0.6107158801315992,0.6795981695801382,1.3087695898632878,0.04791846312729979,-0.049341328978931856,0.6602824075852823,0.6633574114953904
1442.0971857889924,0.473555088256351,113.73595215402001,0.012157248419755759,0.49304565030912617,3.287508036917175,0.5817057287449272,0.6018891811455596,5.343447815938647,0.013137377686418051,-0.013106341558384057,0.5952166318793866,0.5966314400883297
2148.1673758435986,0.4105455372788067,120.34426244948907,0.014081191918234622,0.35324550281979694,3.7615625466001017,0.6323833029453789,0.6563132073895291,5.676892297432478,0.017156951122097967,-0.017064923406243743,0.6481204095875632,0.6506897383255552
1436.877165619068,0.9055083881957722,217.08623921012128,0.056501947822917134,0.4657481752960635,6.884122307996208,0.5333945839815408,0.5988644504327213,1.7089029676558853,0.042125130681920586,-0.042574112277504426,0.589896531804458,0.5935687032505008
154.50897552126514,0.2810430746980776,22.094274238411874,0.06056515454175153,0.5156895072262486,2.9676306742016108,0.6002089550206727,0.701419347631895,2.109036345448483,0.019776196331406953,-0.020513127448777705,0.6852180331386989,0.6642048369542396
